Раздел A;;ПРОДУКЦИЯ СЕЛЬСКОГО ХОЗЯЙСТВА, ОХОТЫ И ЛЕСНОГО ХОЗЯЙСТВА;
Подраздел AА;;ПРОДУКЦИЯ СЕЛЬСКОГО ХОЗЯЙСТВА, ОХОТЫ И ЛЕСНОГО ХОЗЯЙСТВА;
05.00.150;Тонна;Живая осетровая рыба;G
05.00.160;Тонна;Живая сиговая рыба;G
05.00.170;Тонна;Живая тресковая рыба;G
05.00.180;Тонна;Живая сельдевая и анчоусовая рыба;G
05.00.220;Тонна;Живая декоративная рыба;G
05.00.410;Тонна;Свежая или охлажденная лососевая рыба;G
05.00.420;Тонна;Свежая или охлажденная камбалообразная рыба, свежий и охлажденный морской окунь (скорпена);G
05.00.430;Тонна;Свежая или охлажденная окунеобразная и макрелещуковая рыба;G
05.00.440;Тонна;Свежая или охлажденная карповая рыба;G
05.00.450;Тонна;Свежая или охлажденная осетровая рыба;G
05.00.460;Тонна;Свежая или охлажденная сиговая рыба;G
05.00.470;Тонна;Свежая или охлажденная тресковая рыба;G
05.00.480;Тонна;Свежая или охлажденная сельдевая и анчоусовая рыба;G
05.00.510;Тонна;Прочая свежая или охлажденная рыба;G
05.00.610;;Немороженые ракообразные;
05.00.611;Килограмм;Лангусты;G
05.00.612;Килограмм;Омары;G
05.00.613;Килограмм;Крабы;G
05.00.614;Килограмм;Креветки;G
05.00.615;Килограмм;Пресноводные раки;G
05.00.710;Килограмм;Живые устрицы;G
05.00.720;Килограмм;Свежие или охлажденные устрицы;G
05.00.730;;Прочие живые, свежие или охлажденные водные беспозвоночные, отличные от ракообразных и моллюсков;
05.00.731;Килограмм;Гребешки;G
05.00.732;Килограмм;Мидии;G
05.00.733;Килограмм;Каракатицы;G
05.00.734;Килограмм;Осьминоги;G
05.00.735;Килограмм;Кальмары;G
05.00.736;Килограмм;Морские ежи;G
05.00.737;Килограмм;Морские огурцы;G
05.00.738;Килограмм;Медузы;G
05.00.740;Килограмм;Необработанные или подвергнутые первичной обработке кораллы и аналогичные материалы;G
05.00.750;Килограмм;Необработанные или подвергнутые первичной обработке раковины и панцири моллюсков, ракообразных или иглокожих;G
